instance_id,image_id,category_id,area,bbox_x,bbox_y,bbox_w,bbox_h
40,15567,33,320,312.0,261.0,37.0,17.0
41,15567,13,1204,296.0,163.0,82.0,30.0
42,15567,31,11106,214.0,256.0,58.0,278.0
43,15567,30,298,238.0,230.0,44.0,28.0
44,15567,30,187,356.0,228.0,32.0,18.0
45,15567,28,1378,341.0,224.0,45.0,62.0
46,15567,31,1730,377.0,282.0,60.0,115.0
47,15567,31,706,234.0,510.0,43.0,36.0
48,15567,24,5593,354.0,283.0,81.0,243.0
49,15567,24,18268,370.0,283.0,180.0,274.0
50,15567,23,3551,428.0,854.0,91.0,66.0
51,15567,23,3351,221.0,828.0,80.0,73.0
52,15567,9,42748,200.0,208.0,255.0,494.0
53,15595,1,37198,475.0,335.0,202.0,233.0
54,15595,33,389,513.0,335.0,164.0,31.0
55,15595,35,716,556.0,341.0,25.0,219.0
56,15595,13,1589,528.0,166.0,79.0,37.0
57,13368,9,32865,503.0,266.0,233.0,336.0
58,13368,31,6744,687.0,334.0,49.0,230.0
59,13368,35,799,657.0,346.0,50.0,256.0
60,13368,35,124,534.0,302.0,32.0,32.0
61,13368,27,5022,529.0,266.0,194.0,88.0
62,13368,32,2542,527.0,458.0,38.0,99.0
63,13368,31,5816,514.0,277.0,84.0,153.0
64,13368,1,15592,572.0,282.0,100.0,245.0
65,13368,33,350,587.0,283.0,70.0,44.0
66,13368,19,237,557.0,443.0,8.0,59.0
67,13368,19,278,682.0,472.0,11.0,65.0
68,17388,14,1761,550.0,87.0,81.0,62.0
69,17388,33,280,559.0,175.0,68.0,33.0
70,17388,24,5840,631.0,383.0,81.0,122.0
71,17388,10,22771,516.0,174.0,172.0,237.0
72,17388,22,5603,574.0,435.0,72.0,196.0
73,17388,22,5416,536.0,426.0,55.0,198.0
74,17388,23,646,557.0,576.0,35.0,54.0
75,17388,23,564,609.0,581.0,38.0,52.0
76,20326,1,905,260.0,367.0,28.0,49.0
77,20326,33,130,261.0,367.0,27.0,7.0
78,20326,10,58193,192.0,290.0,223.0,361.0
79,20326,31,8936,362.0,322.0,53.0,255.0
80,20326,31,4973,192.0,329.0,38.0,248.0
81,20326,29,4181,226.0,290.0,123.0,140.0
82,20326,23,4870,316.0,842.0,83.0,106.0
83,20326,23,6277,207.0,857.0,101.0,113.0
84,20437,23,5547,415.0,832.0,62.0,128.0
85,20437,22,15,378.0,929.0,8.0,4.0
86,20437,23,4417,321.0,891.0,95.0,85.0
87,20437,6,24511,291.0,648.0,165.0,258.0
88,20437,4,97510,252.0,169.0,251.0,496.0
89,20437,29,1767,265.0,169.0,181.0,317.0
90,20437,31,20522,252.0,212.0,156.0,220.0
91,17629,4,148035,80.0,197.0,434.0,489.0
92,17629,24,649,223.0,256.0,27.0,55.0
93,17629,31,32783,80.0,250.0,183.0,292.0
94,17629,31,21901,401.0,297.0,113.0,334.0
95,17629,13,1612,286.0,136.0,79.0,39.0
96,17629,14,2915,271.0,98.0,110.0,97.0
97,17629,6,24562,253.0,679.0,138.0,266.0
98,17629,23,3503,239.0,911.0,67.0,79.0
99,17629,23,4870,344.0,911.0,81.0,87.0
100,17629,33,3267,271.0,197.0,112.0,119.0
101,15261,10,116713,464.0,381.0,308.0,559.0
102,15261,23,2596,582.0,930.0,98.0,84.0
103,15261,23,2108,480.0,932.0,91.0,74.0
104,15261,31,13716,548.0,255.0,178.0,181.0
105,15261,10,1091,556.0,224.0,59.0,112.0
106,15261,31,584,503.0,325.0,25.0,60.0
107,15261,4,35535,503.0,206.0,223.0,259.0
108,15261,28,835,597.0,206.0,61.0,28.0
109,15261,35,582,540.0,229.0,76.0,238.0
110,15261,35,299,513.0,255.0,84.0,187.0
111,15261,35,131,512.0,360.0,13.0,20.0
112,15271,23,687,804.0,460.0,29.0,68.0
113,15271,23,749,742.0,529.0,30.0,69.0
114,15271,6,12626,724.0,319.0,107.0,222.0
115,15271,4,28513,702.0,126.0,171.0,223.0
116,15271,31,5770,833.0,166.0,40.0,183.0
117,15271,31,3138,702.0,159.0,48.0,161.0
118,15271,28,2426,744.0,126.0,88.0,47.0
119,15271,35,337,761.0,190.0,27.0,121.0
120,15271,32,1727,786.0,230.0,40.0,55.0
121,15271,32,243,735.0,239.0,20.0,33.0
122,15697,6,51414,341.0,424.0,326.0,322.0
123,15697,23,9847,313.0,832.0,116.0,169.0
124,15697,1,48399,238.0,211.0,335.0,254.0
125,15697,39,3884,392.0,211.0,67.0,85.0
126,15697,43,35529,238.0,285.0,334.0,176.0
127,15697,36,905,362.0,285.0,41.0,32.0
128,15697,33,601,318.0,224.0,80.0,77.0
129,15697,23,6800,641.0,806.0,72.0,148.0
130,15711,1,11005,275.0,258.0,135.0,158.0
131,15711,33,1588,275.0,307.0,132.0,44.0
132,15711,31,5945,211.0,298.0,57.0,225.0
133,15711,6,50160,228.0,409.0,247.0,445.0
134,15711,31,7358,312.0,360.0,134.0,156.0
135,15711,4,17599,211.0,298.0,236.0,255.0
136,15711,23,1318,305.0,841.0,52.0,106.0
137,15711,23,1316,448.0,865.0,72.0,101.0
138,15755,23,1837,213.0,919.0,47.0,78.0
139,15755,23,1941,242.0,872.0,61.0,91.0
140,15755,10,71496,105.0,223.0,243.0,467.0
141,15755,27,3396,167.0,223.0,123.0,96.0
142,15755,31,4734,105.0,262.0,66.0,123.0
143,15755,31,4717,295.0,256.0,53.0,129.0
144,16296,10,93039,120.0,273.0,188.0,734.0
145,16296,23,146,253.0,931.0,19.0,19.0
146,16296,23,718,131.0,998.0,88.0,25.0
147,16296,33,974,129.0,300.0,141.0,87.0
148,16296,33,194,269.0,346.0,25.0,42.0
149,16415,33,277,313.0,205.0,67.0,15.0
150,16415,10,71121,253.0,203.0,241.0,518.0
151,16415,1,8302,263.0,209.0,160.0,177.0
152,16415,33,676,270.0,301.0,152.0,40.0
153,16415,23,1501,312.0,784.0,34.0,98.0
154,16415,23,5345,318.0,843.0,57.0,131.0
155,16420,1,33120,355.0,148.0,201.0,246.0
156,16420,33,652,419.0,148.0,89.0,60.0
157,16420,31,1706,355.0,156.0,45.0,57.0
158,16420,31,604,533.0,164.0,23.0,44.0
159,16420,8,28090,360.0,379.0,216.0,188.0
160,16420,23,2993,469.0,857.0,125.0,104.0
161,16420,23,3123,364.0,883.0,112.0,121.0
162,16420,19,3223,402.0,377.0,77.0,62.0
163,16420,19,1681,521.0,392.0,40.0,50.0
164,16420,34,134,440.0,418.0,21.0,18.0
165,17044,8,14726,308.0,580.0,123.0,243.0
166,17044,28,445,315.0,395.0,33.0,33.0
167,17044,31,2608,285.0,419.0,57.0,74.0
168,17044,10,21718,273.0,395.0,116.0,400.0
169,17246,10,9546,475.0,300.0,82.0,193.0
170,17246,1,9138,463.0,263.0,132.0,155.0
171,17246,31,1806,559.0,288.0,36.0,119.0
172,17246,31,1827,463.0,280.0,20.0,138.0
173,17246,33,39,512.0,300.0,30.0,9.0
174,17246,33,807,498.0,263.0,51.0,75.0
175,17246,23,417,531.0,593.0,25.0,40.0
176,17246,23,431,512.0,580.0,19.0,45.0
177,17444,23,4706,397.0,907.0,62.0,99.0
178,17444,23,4067,262.0,852.0,108.0,72.0
179,17444,6,42236,258.0,535.0,197.0,385.0
180,17444,4,72309,194.0,163.0,294.0,415.0
181,17444,31,18327,382.0,229.0,106.0,347.0
182,17444,31,10543,194.0,240.0,71.0,338.0
183,17444,28,1433,326.0,163.0,63.0,81.0
184,17444,32,6351,335.0,256.0,88.0,80.0
185,17444,35,609,349.0,258.0,71.0,33.0
186,17444,32,2870,375.0,395.0,40.0,96.0
187,17444,25,16131,258.0,145.0,110.0,332.0
188,17444,17,1373,194.0,564.0,45.0,46.0
189,17444,14,7968,239.0,39.0,120.0,112.0
190,17444,13,1418,239.0,113.0,85.0,39.0
191,17444,35,1787,300.0,211.0,78.0,344.0
192,17444,32,532,347.0,538.0,40.0,25.0
193,17444,17,2390,372.0,539.0,63.0,79.0
194,18238,1,34159,191.0,228.0,216.0,246.0
195,18238,33,520,261.0,228.0,60.0,22.0
196,18238,31,1716,191.0,252.0,29.0,79.0
197,18238,31,2655,353.0,232.0,54.0,88.0
198,18238,8,61541,165.0,431.0,210.0,348.0
199,18238,23,987,291.0,836.0,28.0,99.0
200,18238,23,2640,257.0,894.0,48.0,87.0
201,19242,33,609,351.0,312.0,88.0,22.0
202,19242,13,4048,362.0,137.0,116.0,61.0
203,19242,31,40044,487.0,347.0,123.0,494.0
204,19242,31,19693,135.0,395.0,82.0,474.0
205,19242,1,181990,135.0,310.0,475.0,559.0
206,19242,36,1257,428.0,312.0,84.0,47.0
207,19242,36,443,212.0,569.0,22.0,28.0
208,19242,36,468,341.0,567.0,26.0,28.0
209,19242,36,481,390.0,650.0,23.0,30.0
210,19242,36,394,462.0,675.0,23.0,24.0
211,19242,36,449,259.0,647.0,27.0,25.0
212,19242,36,450,304.0,571.0,26.0,25.0
213,19242,36,327,317.0,635.0,21.0,24.0
214,19242,36,439,345.0,710.0,26.0,24.0
215,19242,36,563,296.0,717.0,30.0,27.0
216,19242,36,406,224.0,711.0,21.0,24.0
217,19242,36,175,496.0,623.0,11.0,25.0
218,19242,36,392,442.0,723.0,24.0,23.0
219,19242,36,196,188.0,614.0,11.0,22.0
220,19242,36,281,582.0,789.0,21.0,20.0
221,19242,36,1223,489.0,749.0,63.0,84.0
222,19242,36,1179,146.0,798.0,63.0,70.0
223,19242,6,66094,145.0,783.0,399.0,240.0
224,19420,6,1952,338.0,355.0,36.0,86.0
225,19420,4,5211,326.0,239.0,57.0,121.0
226,19420,31,1140,331.0,270.0,48.0,35.0
227,19420,31,121,376.0,273.0,7.0,39.0
228,19420,27,1196,327.0,239.0,44.0,36.0
229,19420,17,296,358.0,252.0,24.0,21.0
230,19420,32,233,362.0,329.0,15.0,21.0
231,20605,28,543,468.0,316.0,59.0,16.0
232,20605,31,6411,550.0,358.0,50.0,206.0
233,20605,31,3992,410.0,366.0,33.0,198.0
234,20605,0,39494,410.0,316.0,190.0,250.0
235,20605,7,12159,438.0,550.0,144.0,111.0
236,20605,32,9,446.0,566.0,1.0,9.0
237,20605,32,21,577.0,564.0,5.0,11.0
238,20605,14,3364,470.0,243.0,66.0,67.0
239,15141,13,1182,288.0,162.0,88.0,30.0
240,15141,11,69598,282.0,318.0,196.0,597.0
241,15141,23,2425,273.0,790.0,30.0,129.0
242,15141,23,3699,358.0,903.0,78.0,71.0
243,15141,31,11004,418.0,208.0,149.0,209.0
244,15141,31,10773,269.0,284.0,203.0,146.0
245,15141,33,191,391.0,318.0,49.0,13.0
246,15141,4,46973,268.0,208.0,299.0,390.0
247,15141,35,591,376.0,267.0,107.0,195.0
248,15141,29,8823,307.0,213.0,132.0,236.0
249,20183,10,179771,106.0,364.0,464.0,658.0
250,20183,33,6560,184.0,364.0,286.0,202.0
251,20183,37,946,444.0,364.0,26.0,59.0
252,20183,4,132422,0.0,307.0,638.0,715.0
253,20183,31,7278,43.0,372.0,68.0,293.0
254,20183,31,36062,480.0,325.0,158.0,499.0
255,20183,29,20379,58.0,307.0,460.0,333.0
256,17297,32,1409,633.0,88.0,66.0,35.0
257,17297,32,10277,677.0,356.0,90.0,185.0
258,17297,32,7339,385.0,384.0,72.0,171.0
259,17297,18,2040,619.0,201.0,68.0,72.0
260,17297,29,16663,458.0,0.0,211.0,250.0
261,17297,0,10465,494.0,0.0,200.0,414.0
262,17297,28,1752,512.0,0.0,100.0,38.0
263,17297,16,4736,547.0,2.0,41.0,185.0
264,17297,4,188200,304.0,0.0,480.0,574.0
265,17297,31,3739,607.0,218.0,88.0,112.0
266,17297,31,24758,638.0,22.0,147.0,345.0
267,17297,31,38447,304.0,22.0,218.0,414.0
268,17297,31,2646,494.0,313.0,48.0,101.0
269,16259,23,4358,396.0,903.0,58.0,108.0
270,16259,22,353,412.0,888.0,29.0,22.0
271,16259,23,2010,425.0,742.0,41.0,83.0
272,16259,22,260,423.0,746.0,18.0,31.0
273,16259,8,14958,275.0,605.0,165.0,140.0
274,16259,1,21134,189.0,458.0,263.0,185.0
275,16259,31,4765,342.0,481.0,110.0,152.0
276,16259,31,1862,189.0,480.0,55.0,55.0
277,16259,28,2171,242.0,458.0,83.0,54.0
278,16259,24,860,267.0,505.0,32.0,207.0
279,16259,15,95,309.0,385.0,14.0,20.0
280,16259,15,93,246.0,380.0,12.0,25.0
281,5295,13,588,301.0,92.0,60.0,32.0
282,5295,28,1128,268.0,165.0,95.0,25.0
283,5295,24,47409,177.0,174.0,263.0,312.0
284,5295,23,4680,369.0,901.0,99.0,88.0
285,5295,23,4331,268.0,894.0,99.0,88.0
286,5295,31,3874,326.0,180.0,74.0,98.0
287,5295,10,36395,215.0,165.0,263.0,438.0
288,11110,13,1727,284.0,221.0,75.0,32.0
289,11110,1,24774,258.0,283.0,138.0,297.0
290,11110,32,212,339.0,352.0,17.0,13.0
291,11110,28,1352,281.0,283.0,94.0,44.0
292,11110,4,36642,217.0,294.0,241.0,320.0
293,11110,28,735,270.0,294.0,115.0,43.0
294,11110,31,2152,217.0,348.0,43.0,262.0
295,11110,31,10864,393.0,326.0,65.0,288.0
296,11110,6,41446,255.0,574.0,168.0,367.0
297,11110,32,488,360.0,577.0,39.0,17.0
298,11110,32,205,257.0,577.0,15.0,18.0
299,11110,23,3673,268.0,921.0,85.0,74.0
300,11110,23,3274,372.0,930.0,54.0,78.0
301,11110,32,4039,362.0,445.0,45.0,102.0
302,11110,32,2444,225.0,442.0,33.0,99.0
303,12799,10,29083,202.0,171.0,159.0,555.0
304,12799,19,5690,212.0,360.0,140.0,56.0
305,12799,9,118017,57.0,159.0,418.0,671.0
306,12799,31,18561,82.0,209.0,120.0,358.0
307,12799,31,16540,353.0,217.0,122.0,353.0
308,12799,29,15209,174.0,158.0,209.0,196.0
309,12799,37,106,359.0,232.0,16.0,32.0
310,12799,37,101,351.0,223.0,13.0,30.0
311,12799,37,84,344.0,218.0,10.0,26.0
312,12799,37,36,337.0,215.0,5.0,16.0
313,12799,37,3,331.0,219.0,1.0,3.0
314,12799,37,1323,374.0,217.0,30.0,114.0
315,12799,37,1290,144.0,209.0,43.0,104.0
316,12799,37,86,184.0,234.0,9.0,28.0
317,12799,37,38,197.0,231.0,5.0,19.0
318,12799,37,16,208.0,230.0,3.0,8.0
319,12799,37,26,373.0,646.0,3.0,12.0
320,12799,37,1680,379.0,601.0,33.0,117.0
321,12799,37,4198,62.0,636.0,75.0,151.0
322,12799,33,485,261.0,177.0,46.0,105.0
323,12799,15,4542,236.0,25.0,95.0,104.0
324,13542,23,2909,304.0,834.0,43.0,107.0
325,13542,23,3657,327.0,884.0,52.0,87.0
326,13542,21,9413,286.0,651.0,63.0,194.0
327,13542,21,9452,342.0,650.0,72.0,238.0
328,13542,24,38390,312.0,426.0,246.0,400.0
329,13542,17,1273,319.0,356.0,45.0,42.0
330,13542,17,1579,344.0,390.0,43.0,58.0
331,13542,31,7999,236.0,360.0,103.0,125.0
332,13542,31,4469,394.0,338.0,65.0,147.0
333,13542,4,35396,236.0,338.0,228.0,275.0
334,13542,26,82019,144.0,66.0,413.0,426.0
335,13894,14,10794,284.0,105.0,205.0,142.0
336,13894,8,60698,263.0,605.0,265.0,279.0
337,13894,24,5421,512.0,481.0,60.0,282.0
338,13894,36,2514,332.0,363.0,48.0,89.0
339,13894,36,217,394.0,321.0,24.0,15.0
340,13894,36,288,436.0,303.0,19.0,42.0
341,13894,31,23386,283.0,317.0,150.0,264.0
342,13894,4,55504,266.0,296.0,251.0,401.0
343,13894,35,1096,272.0,400.0,50.0,297.0
344,13897,23,3434,237.0,885.0,60.0,82.0
345,13897,23,2402,197.0,787.0,49.0,96.0
346,13897,6,18214,194.0,513.0,134.0,335.0
347,13897,24,4454,152.0,603.0,67.0,117.0
348,13897,25,2940,294.0,208.0,72.0,93.0
349,13897,31,20667,150.0,260.0,97.0,318.0
350,13897,32,2036,227.0,341.0,65.0,95.0
351,13897,35,909,279.0,298.0,32.0,262.0
352,13897,27,5920,185.0,156.0,74.0,110.0
353,13897,32,4993,139.0,449.0,140.0,138.0
354,13897,1,4206,309.0,286.0,37.0,229.0
355,13897,9,73064,123.0,156.0,261.0,480.0
356,13897,35,1165,337.0,274.0,30.0,239.0
357,13957,10,70827,195.0,153.0,194.0,510.0
358,13957,28,1186,247.0,153.0,71.0,40.0
359,13957,37,576,264.0,174.0,34.0,28.0
360,13957,40,11421,195.0,564.0,194.0,99.0
361,13957,15,7408,188.0,7.0,164.0,125.0
362,13957,23,2799,235.0,798.0,49.0,123.0
363,13957,23,3381,274.0,858.0,58.0,109.0
364,13975,33,151,639.0,190.0,29.0,9.0
365,13975,32,382,606.0,331.0,28.0,20.0
366,13975,32,407,689.0,332.0,29.0,22.0
367,13975,13,452,679.0,346.0,28.0,42.0
368,13975,1,6450,610.0,190.0,98.0,110.0
369,13975,42,5,610.0,337.0,2.0,3.0
370,13975,8,11917,601.0,315.0,118.0,124.0
371,14000,14,14615,443.0,52.0,185.0,153.0
372,14000,13,2160,411.0,131.0,110.0,45.0
373,14000,25,55576,383.0,182.0,260.0,373.0
374,14000,31,28249,312.0,291.0,180.0,409.0
375,14000,31,30659,529.0,297.0,189.0,403.0
376,14000,17,645,475.0,678.0,74.0,22.0
377,14000,24,3029,335.0,273.0,311.0,427.0
378,14000,4,105414,312.0,281.0,406.0,419.0
379,14042,23,3568,557.0,910.0,60.0,83.0
380,14042,22,394,557.0,903.0,34.0,21.0
381,14042,23,800,519.0,826.0,24.0,63.0
382,14042,6,41478,408.0,448.0,192.0,466.0
383,14042,31,390,604.0,486.0,34.0,17.0
384,14042,31,532,332.0,512.0,37.0,25.0
385,14042,0,7028,332.0,165.0,306.0,372.0
386,14042,28,1654,398.0,165.0,77.0,54.0
387,14042,32,298,506.0,249.0,31.0,25.0
388,14042,32,394,378.0,425.0,39.0,11.0
389,14042,32,349,530.0,398.0,34.0,19.0
390,14042,16,3451,424.0,199.0,64.0,243.0
391,14042,4,83986,303.0,169.0,340.0,383.0
392,14042,31,13082,540.0,189.0,103.0,303.0
393,14042,31,14021,303.0,220.0,65.0,317.0
394,14042,29,9054,359.0,169.0,160.0,190.0
395,14053,4,94,375.0,376.0,6.0,28.0
396,14053,24,9940,279.0,204.0,107.0,347.0
397,14053,23,1962,420.0,865.0,57.0,114.0
398,14053,23,985,384.0,862.0,47.0,100.0
399,14053,31,10140,257.0,224.0,94.0,240.0
400,14053,31,5439,490.0,239.0,67.0,301.0
401,14053,35,447,408.0,225.0,14.0,119.0
402,14053,1,52156,257.0,185.0,300.0,355.0
403,14053,28,1498,365.0,185.0,85.0,40.0
404,14053,8,30870,328.0,375.0,199.0,273.0
405,14055,1,25657,156.0,180.0,174.0,271.0
406,14055,31,3009,251.0,202.0,79.0,70.0
407,14055,33,145,266.0,181.0,45.0,28.0
408,14055,7,5076,211.0,381.0,88.0,110.0
409,14055,23,2832,544.0,582.0,126.0,80.0
410,14055,23,2016,397.0,523.0,102.0,94.0
411,14081,23,1538,208.0,785.0,49.0,49.0
412,14081,23,2261,187.0,727.0,43.0,86.0
413,14081,7,14765,167.0,503.0,127.0,151.0
414,14081,1,7653,197.0,336.0,73.0,177.0
415,14081,31,5410,126.0,337.0,54.0,207.0
416,14081,31,5407,289.0,351.0,37.0,207.0
417,14081,32,219,280.0,468.0,13.0,23.0
418,14081,32,328,162.0,464.0,22.0,26.0
419,14081,33,441,219.0,336.0,44.0,17.0
420,14081,32,1794,264.0,530.0,30.0,92.0
421,14081,4,25395,126.0,334.0,200.0,224.0
422,14081,29,2674,193.0,336.0,97.0,113.0
423,14081,32,656,167.0,571.0,19.0,69.0
424,14109,1,11138,251.0,260.0,150.0,192.0
425,14109,8,36019,270.0,442.0,209.0,442.0
426,14109,23,4388,416.0,853.0,62.0,118.0
427,14109,23,3955,312.0,867.0,85.0,101.0
428,14109,33,223,257.0,343.0,100.0,43.0
429,14200,1,27329,595.0,233.0,202.0,242.0
430,14200,33,412,663.0,264.0,93.0,31.0
431,14200,6,69720,490.0,448.0,305.0,443.0
432,14200,32,5222,739.0,556.0,55.0,135.0
433,14200,32,3890,542.0,556.0,61.0,124.0
434,14200,32,467,574.0,460.0,41.0,67.0
435,14200,23,5886,399.0,897.0,124.0,90.0
436,14200,23,4193,658.0,914.0,72.0,82.0
437,14200,24,15023,771.0,235.0,114.0,507.0
438,14200,13,1671,671.0,119.0,62.0,39.0
439,14200,32,352,764.0,473.0,31.0,57.0
440,14258,0,28968,325.0,720.0,228.0,211.0
441,14335,10,124126,182.0,283.0,273.0,686.0
442,14335,33,1162,238.0,283.0,143.0,44.0
443,14374,32,4486,234.0,432.0,70.0,100.0
444,14374,32,536,413.0,477.0,26.0,42.0
445,14374,31,22562,136.0,329.0,114.0,311.0
446,14374,31,7798,437.0,378.0,97.0,144.0
447,14374,7,1678,197.0,649.0,58.0,116.0
448,14374,0,67291,87.0,325.0,447.0,437.0
449,14374,1,11922,293.0,382.0,112.0,223.0
450,14374,23,11104,498.0,814.0,107.0,160.0
451,14374,22,494,516.0,820.0,26.0,26.0
452,14374,23,9604,616.0,856.0,129.0,154.0
453,14374,22,881,624.0,852.0,59.0,62.0
454,14769,31,12832,126.0,249.0,83.0,334.0
455,14769,31,12742,335.0,238.0,65.0,346.0
456,14769,10,41736,126.0,229.0,274.0,399.0
457,14769,33,602,207.0,229.0,119.0,15.0
458,14769,23,3986,240.0,882.0,53.0,92.0
459,14769,23,783,231.0,844.0,62.0,48.0
460,14769,10,41212,171.0,210.0,179.0,381.0
461,14769,33,2228,218.0,210.0,105.0,141.0
462,14769,43,7512,336.0,423.0,64.0,161.0
463,14769,43,6270,126.0,426.0,64.0,157.0
464,14911,9,117063,18.0,247.0,487.0,774.0
465,14911,31,32814,380.0,294.0,125.0,482.0
466,14911,31,15676,43.0,323.0,49.0,481.0
467,14911,28,7231,135.0,247.0,217.0,129.0
468,14911,8,125515,88.0,571.0,333.0,450.0
469,14911,19,2715,124.0,572.0,230.0,56.0
470,14911,34,165,169.0,604.0,13.0,20.0
471,14911,1,39644,102.0,342.0,383.0,419.0
472,14911,33,783,180.0,342.0,102.0,40.0
473,14913,35,951,313.0,366.0,31.0,171.0
474,14913,31,8262,402.0,252.0,62.0,235.0
475,14913,31,9136,204.0,238.0,62.0,259.0
476,14913,4,60413,204.0,214.0,260.0,341.0
477,14913,6,38354,265.0,519.0,159.0,360.0
478,14913,23,4242,307.0,857.0,48.0,118.0
479,14913,23,1735,289.0,841.0,32.0,93.0
480,14913,32,6569,258.0,410.0,72.0,119.0
481,14913,32,7097,327.0,410.0,90.0,113.0
482,14961,31,6910,459.0,233.0,111.0,168.0
483,14961,31,12299,215.0,137.0,121.0,278.0
484,14961,32,1754,307.0,315.0,34.0,91.0
485,14961,9,90486,215.0,116.0,355.0,501.0
486,14961,29,8135,349.0,116.0,147.0,143.0
487,14961,6,20348,292.0,607.0,135.0,248.0
488,14961,23,739,380.0,853.0,46.0,51.0
489,14961,23,1109,291.0,779.0,90.0,74.0
490,14961,24,22658,143.0,460.0,172.0,242.0
491,14966,10,26958,397.0,175.0,121.0,315.0
492,14966,33,273,419.0,200.0,85.0,23.0
493,14966,23,740,471.0,562.0,35.0,59.0
494,14966,23,1142,375.0,556.0,56.0,60.0
495,14985,31,37837,440.0,282.0,141.0,459.0
496,14985,31,23723,101.0,300.0,105.0,444.0
497,14985,28,8591,217.0,217.0,258.0,112.0
498,14985,7,8502,277.0,703.0,65.0,141.0
499,14985,33,1615,282.0,276.0,96.0,36.0
500,14985,1,24808,277.0,276.0,101.0,430.0
501,14985,9,184525,101.0,217.0,480.0,647.0
502,14992,1,18141,295.0,319.0,190.0,148.0
503,14992,33,721,359.0,319.0,84.0,29.0
504,14992,31,1295,454.0,345.0,31.0,58.0
505,14992,31,1433,295.0,324.0,39.0,59.0
506,14992,6,22986,327.0,471.0,139.0,323.0
507,14992,24,9994,367.0,485.0,145.0,114.0
508,14992,23,782,359.0,816.0,30.0,48.0
509,14992,23,1279,389.0,818.0,39.0,51.0
510,15000,1,62299,199.0,536.0,366.0,306.0
511,15000,31,14253,410.0,549.0,155.0,161.0
512,15000,31,3215,199.0,613.0,67.0,168.0
513,15000,28,2281,304.0,536.0,178.0,58.0
514,15002,33,3491,344.0,496.0,280.0,112.0
515,15002,10,108185,156.0,382.0,480.0,641.0
516,15002,18,2587,267.0,963.0,83.0,60.0
517,15008,31,6533,194.0,225.0,83.0,148.0
518,15008,31,5045,408.0,237.0,72.0,144.0
519,15008,28,1850,294.0,185.0,117.0,46.0
520,15008,10,79092,194.0,185.0,286.0,479.0
521,15008,25,1841,323.0,188.0,55.0,79.0
522,15008,24,2507,387.0,230.0,53.0,190.0
523,15008,24,2811,246.0,218.0,59.0,207.0
524,15008,23,2323,316.0,892.0,50.0,97.0
525,15008,23,1640,282.0,842.0,40.0,99.0
526,15016,18,452,466.0,247.0,30.0,25.0
527,15016,24,18809,248.0,248.0,167.0,401.0
528,15016,15,1831,316.0,74.0,115.0,59.0
529,15016,10,37962,344.0,226.0,166.0,446.0
530,15036,23,3118,333.0,842.0,46.0,97.0
531,15036,23,2798,363.0,790.0,45.0,109.0
532,15036,21,8545,359.0,612.0,59.0,207.0
533,15036,21,9723,301.0,603.0,64.0,250.0
534,15036,10,68766,247.0,229.0,244.0,374.0
535,15036,28,21656,248.0,229.0,243.0,165.0
536,15036,31,4532,247.0,365.0,58.0,158.0
537,15036,31,4986,420.0,370.0,43.0,183.0
538,15036,35,894,358.0,314.0,19.0,285.0
539,15038,33,422,281.0,256.0,88.0,22.0
